num,score,singer,style,time,type_1,type_2
22251,8.9,曲婉婷,流行,2012/7/1,专辑,CD
22251,8.9,王菲,流行,1997/9/30,专辑,CD
22251,8.9,汪峰,摇滚,2009/7/25,专辑,CD
22251,8.9,莫文蔚,流行,2002/4/29,专辑,CD
22251,8.9,Maroon 5,流行,2002,专辑,Audio CD
38589,8.6,孙燕姿,流行,2004/10/1,专辑,CD
38589,8.6,Lady Gaga,流行,2008/8/19,Import,Audio CD
38589,8.6,Jason Mraz,流行,2005/7/4,Import,Audio CD
38589,8.6,五月天,流行,2006/12/28,引进版,CD
38589,8.6,Daniel Powter,流行,2006,专辑,Audio CD
38589,8.6,Jason Mraz,民谣,2008/12/16,Single,Audio CD
38589,8.6,许巍 Wei Xu,民谣,2002/12/1,专辑,CD
38589,8.6,朴树,流行,2003/11/28,专辑,CD
38589,8.6,周杰伦,流行,2007/11/1,专辑,CD
38589,8.6,苏打绿,摇滚,2009/9/11,专辑,CD
38589,8.6,范晓萱,爵士,2001/8/25,专辑,CD
38589,8.6,曹方,流行,2009/11/11,专辑,CD
38589,8.6,孙燕姿,流行,2003/1/10,专辑,CD
38589,8.6,Radiohead,摇滚,1997,专辑,Audio CD
38589,8.6,Lana Del Rey,流行,2012/1/31,专辑,Audio CD
38589,8.6,Pink Floyd,摇滚,1979,专辑,Audio CD
38589,8.6,痛仰,摇滚,Oct-08,专辑,CD
38589,8.6,Linkin Park,摇滚,2000,专辑,CD
38589,8.6,Nirvana,摇滚,1994/11/1,Live,Audio CD
38589,8.6,陈绮贞,流行,2004年12月,EP,CD
38589,8.6,Jack Johnson,民谣,2005/3/22,专辑,Audio CD
38589,8.6,五月天 Mayday,流行,2004/11/5,专辑,CD+VCD
38589,8.6,五月天,流行,2007/7/20,专辑,CD+DVD
38589,8.6,陈奕迅,流行,2008/6/30,专辑,CD
