author,brief,cate,time,title,type_1,type_2
七月未时, 神洲。大夏王朝。永盛十二年。顾锦年穿越而来，惊奇发现这是个仙武并存，王朝主宰的世界。这个世界有儒、道、武、佛、妖、术、剑。自己则成了大夏王朝第一权贵镇国公长孙，自幼锦衣玉食，享万千宠溺。然而顾锦年更是发现，神洲世界有天命之说，五百年定一次天命，得天命者可踏入传说之中的第八境。此番天命为儒道也，故万般皆下品惟有读书高。可最让顾锦年震惊的是，自己的儒道，竟有恐怖异象。下棋落子，金光璀璨，大龙浮现，天地大同，为棋坛圣手。作诗异象，十里花香，百里祥云，千里奇观，为古今诗仙。丹青成真，画龙点睛，落笔有神，墨宝无价，非有诏不得画。文章惊天，旷古烁今，字字珠玑，人人如龙，千古绝唱惊世人。吾名顾锦年，大夏文圣。------已有三万均订作品，《大魏读书人》，两百四十万字完结作品。新书再续儒道热血，主打家国热血，文人风骨，与上本书不同质，有区别，放心入坑。 ,连载,2022-06-13 22:36,大夏文圣,仙侠,古典仙侠
跃千愁, 深山有道观，香火早凋零。鄙人不才，年方十九，打小就是一名道士，上有师兄十数位，下惟余最小，俗称关门弟子。师门太穷，师兄们难耐清苦，幸掌门师尊豁达，任由众师兄散伙而去。后有三位师兄迷途知返，年纪颇大，皆有四五十。蒙师尊垂青，逝前传掌门之位于小道，然无论年岁或资历皆不能服众，三位师兄不服。师门不幸，小道不是软柿子，绝不退让，与之内讧。山下村中，有新举人，乃小道发小，师尊逝前亦有交代，护送其进京赶考。义不容辞，且容小道人间走一遭，回来再与众师兄斗！QQ书友群：884037273 ,连载,2022-06-13 18:04,半仙,仙侠,神话修真
风少羽, 虽然我科举舞弊，结党谋权，还调教木匠皇帝，但是我知道自己是个好官——张好古！ ,连载,2022-06-13 23:00,大明：我，调教木匠皇帝,历史,两宋元明
一蝉知夏, 一觉醒来。洛青舟成了大炎帝国成国府洛家的一个小小庶子。为帮洛家二公子悔婚，洛青舟被迫入赘，娶了一个据说不会说话不会笑的傻子新娘。直到拜完天地，洞房花烛夜后，他才突然发现：“我家娘子，不对劲！”岂止娘子不对劲，就连娘子身边的两个小侍女和秦府其他人，都不对劲！大侍女甜美娇俏爱撩人，声如百灵鸟；小侍女冷若冰雪杀气重，出剑即封喉。小姨子才华横溢，是个如林黛玉般柔弱娇美的人儿。小表姐高傲蛮横，鞭鞭致命。岳父大人满脸正经，暗地里出口成脏。岳母大人貌美如花，眼生头顶爱翻白眼。二哥一心练武，说要光宗耀祖。而洛青舟，他只想老老实实做个小赘婿，然后偷偷摸摸，天下无敌…… ,连载,2022-06-13 22:42,我家娘子，不对劲,轻小说,原生幻想
捕梦者, 上班第一天就想辞职的李凡，突然发现自己原来是这个世界的二号反派。“我就混吃等死熬到退休行不行？”“收藏家大人，兄弟们都拥护您当会长，咱们反了吧？” ,连载,2022-06-13 23:11,异常收藏家,科幻,进化变异
江公子阿宝, 我以后再也不要做太监了！大明朝最年轻最英俊的厂公，穿越成了横店一名群演。遣返倒计时开始！剩余时间92小时29分48秒……是当影帝日入两百万，还是被送回去当太监。你特凉的告诉我这是选择题？！！本书又名《作者他也不想当太监》本故事纯属虚构，如有雷同，你咬我啊~ ,连载,2022-06-13 22:59,影帝他不想当太监,都市,娱乐明星
三月麻竹, 重活一次，钱要好好挣，生活要慢慢过。 ,连载,2022-06-13 21:29,重生大时代之1993,都市,都市生活
全金属弹壳, 王忆得到一枚钥匙，在2022年打开一扇门会去往1982年，在1982年打开一扇门会回到2022年。两个截然不同的大时代出现在他面前：充沛的饮食保障，发达的工业产品，神效的医药，爆炸的信息，这是2022。淳朴的民风乡情，丰富的野生资源，流落的古董，年代的珍宝，这是1982。穿梭在这两个时代，王忆没有太大的念想，他就是想把小日子过的有滋有味。 ,连载,2022-06-13 12:03,我在1982有个家,都市,都市生活
傲无常, 穿成【玄幻世界】的【族长】，从家族角度描绘尽量真实的玄幻世界，种灵田、养灵鱼、全面发展各种家族产业，扶植咸鱼长辈成老祖担当保护伞，激励小辈勇闯圣地学宫出人头地。本文家庭成员和睦团结，齐心协力，一起共创未来。非热血战斗式玄幻，以提升各项家族产业，资金、设施、家仆、家将、族人、客卿、姻亲等元素为主。力图从新鲜的视角去看”老套“的玄幻世界。剧情讨论群：837185062 ,连载,2022-06-13 07:05,保护我方族长,玄幻,东方玄幻
肖十一莫, 仙界，青莲仙域。青莲山脉，一座雕梁画栋的金色阁楼，牌匾上写着“青莲楼”三个大字。王长生和汪如烟站在密集的灵牌位面前，他们点燃檀香，插在香炉之中，走了出去。十万名王家子弟排列整齐站好，他们的表情严肃。王长生开口说道：“今天跟你们说一说我们家族的起源，此事要从一个叫东篱界的下位界面说起，我们王家出身东篱界东荒的一个小国，当时只是一个小家族······” ,连载,2022-06-13 22:31,青莲之巅,仙侠,修真文明
遇牧烧绳, 原书名《美漫：开局指导蝙蝠侠》一朝穿越，席勒成了蝙蝠侠的老师，哥谭大学心理学教授。刚来第一天，布鲁斯·韦恩就进了心理诊室。席勒只得打开美漫聊天系统，发了第一条帖子:蝙蝠侠问我人生的意义，该怎么回答？在线等挺急的。席勒·安戴尔·罗德里格斯，世界级犯罪心理学大师，哥谭大学最知名的心理学教授，他的学生既有超级英雄，也有超级罪犯，但他却不属于其中任何一个，蝙蝠侠喜欢称他为“教授”，小丑把他念作“最冷静的疯子”，稻草人叫他“阿卡姆漏网之鱼”，尼克·弗瑞认为他是“脱罪家”。做蝙蝠侠的老师、小蜘蛛的教父、钢铁侠的心理医生，席勒的美漫之旅，从开局指导蝙蝠侠开始。综美漫（包含电影宇宙），DC漫威及其他漫画，不虐主，配角不降智。（别在意书名！不是工作室文！不是聊天群！系统没啥存在感！正准备改名了！真的正在改了！） ,连载,2022-06-14 00:03,在美漫当心灵导师的日子,轻小说,衍生同人
