author,brief,cate,time,title,type_1,type_2
佛前献花, “我叫杨间，当你看到这句话的时候我已经死了......”一张诡异的羊皮卷，一只窥视黑暗的眼睛，这是一个活下来的人经历的故事。—————— ,连载,2022-06-13 23:32,神秘复苏,仙侠,现代修真
坟土荒草, 陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635 ,连载,2022-06-13 08:00,神话版三国,历史,秦汉三国
历史里吹吹风, 五亿年前。寒武纪。尹神降临在最远古的蛮荒大地和原始海洋之上，他是一切的开端，他创造了智慧和生命，他是众生的造物主。时间的流逝里，故事化为史诗，史诗化为神话，最终神话也被埋葬在岁月之中。唯神永恒。 ,连载,2022-06-13 21:02,我就是神！,玄幻,异世大陆
凤嘲凰, 九州世界，满怀怨气的玩家们聚集一处，滴血为盟，誓要让大魔头魂飞魄散。一时间，八方响应，风起云涌，所有人都看到了美好的明天。除了陆北。他就是那个所谓的魔头。“说我魔头，怪我坑你们，我一NPC，怎么可能坑你们，修仙就是这样的！” ,连载,2022-06-13 21:46,修仙就是这样子的,仙侠,幻想修仙
听日, 1668年，我所在的城市被评为全国治安最好的地区。我对此做出了不可磨灭的贡献。因为我落网了。 ,连载,2022-06-13 15:28,术师手册,轻小说,原生幻想
晨风天堂, 干了一辈子制造业的白昊重生于一九八三年。他从头做起带着小破厂一路奔驰！五轴、盾构、光刻……都是他的专利！“不为别的，就为了这辈子不再受外国佬的气！”—白昊 ,连载,2022-06-14 00:05,大时代从1983开始,都市,都市生活
齐佩甲, 人类文明星际扩张，疆域领土横贯星空。在星际移民的时代浪潮中，周靖意外觉醒星界穿梭之力，创建【星界使徒】作为载体，承载自身的灵魂，投放至不同位面，以不同身份在诸界行走。既定的人生轨迹迎来转折，每创造一具化身，便如同一次新生。然而他慢慢发现，似乎人类文明对众多位面，并非一无所知……——多元的位面，多元的阵营，各自的命运于诸界碰撞！而他是唯一以千变万化姿态游走其中的，星界行者！ ,连载,2022-06-13 20:29,星界使徒,游戏,游戏系统
踏浪寻舟, 致【玩家】：这是生命的奥秘，是万物的征途。你们会更强，成为超级英雄，甚至触摸神灵的权柄。但若是失败，就是死亡。因为你们已经踏上了最高序列的进化游戏！“这可不是就是在为难达尔文？”李长河看着远处踏空而来的【玩家】呢喃着：“还顺带为难了牛顿。”热血流不喜勿喷 ,连载,2022-06-13 20:14,序列玩家,悬疑,侦探推理
王梓钧, 回到明末，沦落为奴。这皇帝，乞丐做得，建奴做得，流寇做得，家奴就做不得？ ,连载,2022-06-13 23:13,朕,历史,两宋元明
说梦者, 妖魔中的至高无上者，名为“大圣”。少年走出山村，踏遍天下，一步步跨入传说中，成为神话。VIP群：102407797（需全订阅）普通群：128914315 ,连载,2022-06-13 10:18,大圣传,仙侠,修真文明
常世, 穿越到一个有着各种奇怪能力，灾难生物，厄运宝具的危险世界。方泽只想觉醒个超凡能力，当个普通的探员，吃吃皇粮，好好的活下去。但他却发现自己从刚穿越，就被卷入到了一场巨大的阴谋当中……奇怪的能力、宝具有：种在身上就可以永葆青春的蘑菇；每分一个分身就会智商下降、实力提升的小丑；出世就引得地区下起黑雨，生物疯狂的破旧神像；捡起就会被附身的古钱币；可以代替主人学习、锻炼，而且效果翻倍的替身地灵等等….————————已有三本万订、精品作品，全都几百万字正常完本，更新期间无断更。人品保证，放心跟读。 ,连载,2022-06-13 11:30,曾经，我想做个好人,轻小说,原生幻想
初四兮, 你希望自己能成为一名什么风格的adc？是稳健发育，打团化身为无情的输出机器，成为队伍中最稳定的一环？还是…挽狂澜于既倒，身陷绝境仍不放弃哪怕一丝操作的机会，游走于刀尖之上？李落：小孩子才做选择，我全都要！非系统文，非无敌流，已有完结精品《联盟之佣兵系统》《这个选手罪孽深重》 ,连载,2022-06-13 23:59,射手凶猛,游戏,电子竞技
中秋月明, 重回90年代，那个神仙打架的纯真时光，荆小强用他那天下无敌的手感跟嗓子，泰山崩于前而色不改的无聊心态，当了个顶尖文艺工作上班族，打卡上台，打卡下班，什么顶礼膜拜，什么歌坛荣耀可去他的吧 ,连载,2022-06-13 08:13,我真不想跟神仙打架,都市,青春校园
打不死的小萧, 意外重生，这一辈子，林铮只想躺平，好好摸鱼，可是..好像不行啊。“不是，我真的不想当专员啊。”“不是，我真的不是当专家啊。”“不是，我怎么能当主任啊。”“这不好吧，你们都喜欢我.....”本书又名《水厂拧巴人林铮》《重生之水厂风云》... ,连载,2022-06-13 22:10,重生从闲鱼赢起,都市,都市生活
兴霸天, 穿越李元芳，神探竟是我自己，最开心的事情有两件：第一，犯人被我揭穿真面目，狗急跳墙要对侦探动手，我笑眯眯的拔出了刀；第二，身边有个狄胖胖，每次遇到案件，我总是忍不住问一句：怀英，你怎么看？（书友群797607104） ,连载,2022-06-13 23:03,从神探李元芳开始,历史,架空历史
封遥睡不够, 【如果全人类都把希望寄托给一个人，这条路就会好走吗？】…“当你看到这行字时，赎回星球的生死游戏已经开始”“所有玩家共同穿梭一个个异世界，换得赎回故土的生机”“我是苏明安，拥有仅我得知的死亡回档能力”“被淘汰的玩家成为了观众，在亿万热度的直播间中，他们说我是——最强的【第一玩家】，黑暗时代的传火者”“也有人说，我是只知道通关的疯子，不称职的领头羊”“…但没有关系”“为众抱薪者，不可冻毙于风雪。为自由开道者，不可困厄于荆棘”“我保守着，侵略者也不知的秘密——每当未来处于绝望，我是唯一能回到过去，改变悲剧的人”“无法见光的时代，以谎言欺骗世界，在无数条失败的世界线摸黑前行”“我会将我铸就的最好的那一个【光辉未来】，带给所有注视我的人”…“…哪怕是踩着我的无数尸骸与骨灰。”…原创副本，大量长线伏笔和反转揭露，多短结局，电车难题、时间跳跃等副本进度:菌菇末世→高三校园→狼人杀村→白沙病院→血族盛宴…【时间长河的唯一守望者，背负人类命运而行】【愿你在大众的狂热和信仰中，行进至这场荒谬游戏的终末】【——遥望远方故土，背负文明热望。】 ,连载,2022-06-13 23:55,第一玩家,游戏,游戏异界
迪巴拉爵士, 史上最惨的造反。看着仅有的两个手下，杨玄觉得这个造反是不是有些儿戏。“郎君，不是造反。是……讨逆！”怡娘认真的道：“郎君才是正朔，如今长安城中的是伪帝。”直至某一天，杨玄打开了那个来自于千年后的神奇卷轴。原来造反，不，原来讨逆真的不是事啊！ ,连载,2022-06-13 19:00,讨逆,历史,架空历史
陈词懒调, 风羿创业遇挫陷入困境时，姑祖母的私人管家带着一份巨额遗产找到他。风羿：“同辈的那么多，她老人家为什么留给我？”管家：“你长得最讨喜。”风羿摸了下自己的锥子脸：“她老人家眼光真好！”然而，继承遗产之后，整个人都不对劲了。————强吗？帅吗？狂吗？牛X吗？智商换的（bushi）。 ,连载,2022-06-09 18:09,每天都离现形更近一步,科幻,进化变异
金色茉莉花, 穿越到了一个玄幻世界，然而——具备先进思想的修行者们刚刚以一场旷日持久的战争结束了早已步入黄昏的旧修行时代。皇权压迫的时代没有了，修行者高高在上的时代消失了，这是一个修行普及、充满活力的崭新时代。欢迎来到新时代的黎明。这个年代，谁还不是个修行者了。 ,连载,2022-06-13 18:17,谁还不是个修行者了,轻小说,原生幻想
孤独麦客, 公元878年，唐僖宗乾符五年。这一年，王仙芝战死黄梅，部众推黄巢为主，号冲天大将军，转战南方。这一年，李克用杀大同军使段文楚，父子二人发动叛乱，沙陀兵马抄掠河东。这一年，江南盗贼蜂起，连陷州郡。这一年，河南连岁旱蝗，军士作乱。这一年，僖宗斗鸡击球，不理朝政。这一年，大唐风雨飘摇。这一年，后世穿越而来的邵树德有自己的理想。他想登高望远，看到的是万家灯火；他想游览山河，看到的是田园牧歌。他想孩童长得健壮，他想妇人免遭凌辱，他想老人能得善终。他想结束这个乱世。 ,连载,2022-06-13 22:34,晚唐浮生,历史,两晋隋唐
转角吻猪, 同桌是个女生，长得还不错，但实在是太烦人了！天天踩我脚，还藏我水杯，动手掐我，跟我妈告状我上课睡觉，关键是她还跟牛皮糖似的甩都甩不掉，大学还跟我同班？？伟大的知友们，帮忙给我出出主意，有什么办法可以治一治她！……「要不，你试着跟她告个白？」——关键词：青梅、恋爱、日常、写作、萌宠 ,连载,2022-06-13 19:58,恋上青梅这件事,都市,都市生活
剑沉黄海, 都说女儿是前世的情人，那万一前身是海王怎么办？金牌编剧穿越而来，面对的不是飞黄腾达三宫六院娱乐帝国，而是，满！园！子！的！瓜！娃！子！（日常风，温馨风，轻喜风，有萌娃，已有完本小说《与萌娃的文艺生活》《哥哥万万岁》） ,连载,2022-06-13 23:54,奶爸学园,都市,都市生活
会说话的胡子, 数百年前的天地异变虽未完全改变历史，却让历史走上了另一条奇异的道路。气运与天赋神力的交织，让这个三国变的不正常起来，如何在这样一个强者遍地的时代走出自己的路，尤其是在成为吕布的女婿后，楚南觉的这条路变的更难走了…… ,连载,2022-06-13 20:00,非正常三国,历史,架空历史
鹅是老五, 地球元气复苏了，但这真不是地球灵气复苏的故事，而是一个流浪宇宙的故事。 ,连载,2022-06-13 21:13,弃宇宙,仙侠,幻想修仙
会摔跤的熊猫, 名为【深海】的精神网络，链接了五片大洲，人类文明飞快前进，却不知道永夜即将垂临。超凡觉醒，大厦将倾。血肉苦弱，何以飞升？故事从接过一把承载真理的戒尺开始。顾慎，一个平凡无奇的少年，掀开了这个超凡世界的一角真相，也成为了万千扑火飞蛾中，最大的那一只。若凛冬将至。我将逆阶而上，掀翻诸王之宝座，弹碎虚伪之冠冕，毁去不公之权杖。我将成为人类最后的，光明壁垒。 ,连载,2022-06-13 23:41,光明壁垒,科幻,进化变异
薄荷也会上火, 江小川穿越到平行空间的年代，在这物资匮乏的年代，用自己的空间和异能暗暗过着潇洒的生活。这是一场旅途…ps:本故事纯属虚构，只有家长里短，不涉嫌敏感。不喜勿喷。谢谢 ,连载,2022-06-13 22:41,脑海带着一扇门,都市,都市异能
录事参军, 二十一世纪法律天才，进入神秘世界的复国之旅。参军出品，必属精品！ ,连载,06-14 00:00,我的老婆是执政官,历史,架空历史
帅犬弗兰克, 骨灰级玩家穿越魔兽，成了吉安娜的亲哥哥，咱现在也是王子了，为了家族存续着想，我是不是该先把自家妹妹的腿打折，免得她以后成为一个弑亲禽兽？等等？怎么一过来就要先死一次？让我看看攻略。嗯，先触摸额头开启人物面板，然后抄起武器去开了那个兽人的脑壳，如果掉落装备就赚了，没有也不必伤心，洗把手，然后再去找下一个……好了，不开玩笑了，让我们正经一点，重新开始讲这个故事：死亡是一把钥匙，打开新的人生。布莱克.肖手握玩家模板，可以打怪升级，坐拥职业系统，一路高歌猛进。系紧黑夜为披风，手握阴影做利刃，用杀戮磨砺爪牙，以恐惧喂养野心。从风暴王国到奥格瑞玛，他的恶行无人不知，从冰冠冰川到潘达利亚，他的恶名无人不晓。当黑衣帝王破影而出时，整个世界都战栗不休。这就是关于这个人的故事，从黑暗之门六年的卡兹莫丹讲起... ,连载,2022-06-13 08:02,艾泽拉斯阴影轨迹,游戏,游戏异界
阎ZK, 世之反常为妖物之性灵为精魂之不散为诡物之异常为怪司隶校尉，旧称卧虎，汉武帝所设，治巫蛊之事，捕奸滑之徒。全球范围内的灵气和神秘复苏，人类摸索着走上修行道路，潜藏在传说中的妖精鬼怪一一浮现，阴影处仍旧有无数邪魔晃动，一间无人问津的博物馆，一面汉武帝时期的刻虎腰牌，让卫渊成为当代最后一位司隶校尉，带他前往古往今来诸多妖异之事。古今稀奇事，子不语怪力乱神，姑妄言之，姑妄听之。姑且斩之。一柄八面汉剑，斩尽魑魅魍魉。生死当定，天道存心。当最后卫渊终于能在和平岁月里，躺着木椅眯眼晒太阳的时候，背后的博物馆里已经封印了无数的妖魔鬼怪。 ,连载,2022-06-14 00:01,镇妖博物馆,悬疑,诡秘悬疑
风月, “我想要挨一顿毒打……”——灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。.某一天，穷困潦倒的槐诗忽然发现自己捡来的金手指终于能用了……只不过，这似乎并不是一件好事。为了赚钱和苟命，他一不小心踏入了这个危险世界。现境之外的边境，日常之后的异常。天文会，绿日、黄金黎明、存世余孽与诸界天敌……究竟是生存还是灭亡？这是个问题。那么，就在这一万零一种拯救世界的方法中，选一个通往HAPPYEND的方向吧。 ,连载,2022-06-13 20:25,天启预报,奇幻,现代魔法
榴弹怕水, 此方天地有龙。龙形百态，不一而足，或游于江海，或翔于高山，或藏于九幽，或腾于云间。一旦奋起，便可吞风降雪，引江划河，落雷喷火，分山避海。此处人间也有龙。人中之龙，胸怀大志，腹有良谋，有包藏宇宙之机，吞吐天地之志。一时机发，便可翻云覆雨，决势分野，定鼎问道，证位成龙。作为一个迷路的穿越者，张行一开始也想成龙，但后来，他发现这个行当卷的太厉害了，就决定改行，去黜落群龙。所谓行尽天下路，使天地处处通，黜遍天下龙，使世间人人可为龙。这是一个老套的穿越故事。 ,连载,2022-06-13 14:32,黜龙,历史,架空历史
陈风笑, 穿越到废土，惯例是孤儿，该怎么办？首先要活下去，可是想做到这一点并不容易。饱暖之后就该思……咳咳，就该考虑怎么变强了，这更不容易。等曲涧磊开始逐渐变强，他意外地发现，这个废土……不是他想像的废土！ ,连载,06-13 20:52,招黑体质开局修行在废土,科幻,星际文明
姬叉, 楚戈是个后宫文写手。当他正在写天下最强者之一的女宗主芳心萌动的时候……一个女人出现在他的房间里，持剑架在他的脖子上：“你敢写我爱上那个男人，我就杀了你。” ,连载,2022-06-13 23:46,女主从书里跑出来了怎么办,都市,都市异能
周一口鸟, “别和我表白，我真不会拒绝。”“我都和你说过了，我不会拒绝...” ,连载,2022-06-13 17:13,此间的男神,都市,都市生活
睡个饱觉, 《哈利波特》是一本童话故事？摆在安东面前的，是随意释放恶咒的黑巫师，是尔虞我诈、是恶臭生虫、是犹如泥潭一般的巫师世界边缘。在这魔法部管辖不到的地方，就连斯内普杀人如麻的赫赫威名都响彻四方。怎么活下去？这是他唯一需要思考的。也许霍格沃茨的录取通知书的到来将会是刺透阴霾云层的阳光。但在此之前，他必须靠自己。唯有自己！“钻心剜骨！”魔咒的光芒照亮了安东的脸，他笑得是那么畅快，“好耶，我又活下来了。” ,连载,2022-06-13 08:02,霍格沃茨之灰巫师,奇幻,现代魔法
孑与2, 天下人，天下事，都不过是我大唐人餐桌上的一道道菜肴。虽然原始的食材便具有食物原始的风情，云初还是认为，最美味的食物还是需要经过分割，烹调，处置，最后端上桌的食物才是最符合大唐人肠胃的食物。清蒸，红烧，爆炒，炖煮……天下有多少事，庖厨便有多少种烹调手段。不论是高句丽，突厥，吐蕃，吐谷浑，薛延陀，铁勒……还是长鲸，猛虎，巨鲨，饿狼，在大唐这个熔炉铁锅里都能烹调出绝世美味……再加上李治，武瞾，长孙无忌，褚遂良，李绩，程咬金等等绝世调料，不论是色香味总会有一样让你难以忘怀。云初希望这样的豪华宴会上，绝对应该有自己的一个座位！现如今，美味已经烹调完毕——云初铺好餐巾，拿起割鹿刀，双眼微闭，准备享受一顿前所未有的大餐，以满足自己饥渴的肠胃。 ,连载,06-13 09:08,唐人的餐桌,历史,两晋隋唐
爱潜水的乌贼, 灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的，似乎能洗去寒冷和阴晦。人们不用再面对荒芜、怪物、感染、畸变和各种危险的事物。在那里，孩子是快乐的，成人是幸福的，一切都是美好的。灰土上每一个古物学者、遗迹猎人和历史研究员都知道，这里就是新世界。 ,完本,2022-05-19 19:33,长夜余火,玄幻,异世大陆
我最白, “音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。 ,连载,2022-06-11 03:09,全职艺术家,都市,娱乐明星
青史尽成灰, 元末濠州城外，朱元璋捡到了一个少年，从此洪武皇帝多了一条臂膀。抗元兵，渡长江，灭陈友谅，伐张士诚。创建大明，光复燕云。我无处不在。从此洪武立国，再无遗憾。大明根基，固若金汤。针对小明王的事情，我们需要采取四阶段战术。首先，我们宣称什么事都没有。其次，我们说或许发生了什么事情，不过我们什么都不用做。再次，我们说或许应该做点什么，可惜什么都做不了。最后，我们很遗憾小明王以身殉国，当初要是做点什么就好了。……有人问：身为太祖第一心腹重臣，如何轻松避过风风雨雨，安享天年？张希孟谦虚地说：“仆只是大明朝卑微的社会公器，用来盛放太祖皇帝深思熟虑的果实！” ,连载,2022-06-13 23:46,大明第一臣,历史,两宋元明
林悦南兮, 千红一哭，万艳同悲。白骨如山忘姓氏，无非公子与红妆。后世青年魂穿红楼世界中宁国远亲之上，为了免于被贾府牵连之命运，只好步步为营，然而茫然四顾，发现家国天下，乱世将临，为不使神州陆沉，遍地膻腥，只好提三尺剑，扫不臣，荡贼寇，平鞑虏，挽天倾！这一切，从截胡秦可卿开始…… ,连载,2022-06-14 00:13,红楼之挽天倾,历史,架空历史
我会修空调, 警察同志，如果我说这是一款休闲治愈系游戏，你们信吗？ ,连载,2022-06-13 18:36,我的治愈系游戏,悬疑,侦探推理
