author,comment,name,press,price,score,time
汪曾祺,一个高贵而残破的昨日镜像,受戒, 漓江出版社 , 3.95元,9.3, 1987-10 
少年儿童出版社,失明症迅速蔓延，整个城市陷入一场空前的灾难,十万个为什么,少年儿童出版社 , 30.00元,9.1, 1962 
"['[阿根廷]', '豪·路·博尔赫斯']/['王永年']",暗恋的极致,小径分岔的花园, 上海译文出版社 , 23.00,8.9, 2015-7 
"['[奥]', '斯蒂芬·茨威格']/['舒昌善']",我们好象在池塘的水底，从一个月亮走向另一个月亮,昨日的世界, 广西师范大学出版社 , 32.00元,9.3, 2004-5-1 
"['[葡]', '若泽·萨拉马戈']/['范维信']",材质、结构、风格和银幕剧作的原理,失明症漫记, 南海出版公司 , 29.50,9.1, 2014-2 
金庸,不识张郎是张郎,倚天屠龙记, 生活·读书·新知三联书店 , 47.00,8.7, 1999-04 
迟子建,东北少数民族鄂温克人生存现状及百年沧桑,额尔古纳河右岸, 北京十月文艺出版社 , 29.00元,9.0, 2005-12-1 
"['[日]', '东野圭吾']/['娄美莲']",人类历史上最早的乌托邦,恶意, 南海出版公司 , 39.50元,8.7, 2016-11-1 
"['[古希腊]', '柏拉图']/['郭斌和']",人类社会的命运,理想国, 商务印书馆 , 28.00元,8.8, 1986-8 
陳浩基,一句胜过千年,1367, 皇冠文化出版有限公司 , NT$350,9.2, 2014-6-9 
刘震云,人们是如何思索、影响他人并与他人建立联系的,一句顶一万句, 长江文艺出版社 , 29.80,8.7, 2009-3 
"['[美]', '戴维·迈尔斯']/['张智勇']",男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,社会心理学, 人民邮电出版社 , 68.00元,9.0, 2006-1 
"['[加拿大]', '阿利斯泰尔·麦克劳德']/['陈以侃']",描写疆北阿勒泰地区生活和风情的原生态散文集,海风中失落的血色馈赠, 上海文艺出版社 , CNY 20.00,9.1, 2015-6-1 
李娟,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,我的阿勒泰, 云南人民出版社 , 22.00元,8.8, 2010-7 
"['[美]', '贾雷德·戴蒙德']/['谢延光']",三毛少女时代的成长感受,枪炮、病菌与钢铁, 上海译文出版社 , 45.00元,8.7, 2006-4-1 
三毛,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,雨季不再来, 北京十月文艺出版社 , 28.00元,8.7, 2007-7 
"['[哥伦比亚]', '加西亚·马尔克斯']/['魏然']",中国企业1978—2008,一桩事先张扬的凶杀案, 南海出版公司 , 25.00元,8.7, 2013-6 
吴晓波,原作名切题,激荡三十年, 中信出版社 , 32.00元,8.6, 2008-7-1 
八月长安,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,你好，旧时光（上下）, 新世界出版社 , 39.80元,8.7, 2009-12 
['三浦紫苑']/['林佩瑾'],“一对平凡的夫妻”之间的“一点真心”,强风吹拂, 广西师范大学出版社 , 39.00元,9.1, 2015-1-1 
张爱玲,我们现在怎样做母亲,倾城之恋, 北京十月文艺出版社 , 29.80元,8.7, 2006-12 
陈凯歌,苟不记之笔墨，未免有辜彼苍之厚,少年凯歌, 人民文学出版社 , 10.00元,9.3, 2001-6 
龙应台,日常的奇迹,孩子你慢慢来, 生活·读书·新知三联书店 , 28.00元,8.7, 2009-12-1 
錢穆,钱穆中国通史,國史大綱（上下）, 商务印书馆 , 76.00元,9.4, 2013-8 
"['[美]', '曼昆']/['梁小民']",经济学家们的世界观,经济学原理（上下）, 机械工业出版社 , 88.00元,9.1, 2003-8 
[美]洛莉·戈特利布,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,也许你该找个人聊聊,上海文化出版社 , 68.00元,9.0, 2021-7-28 
老舍,我就是要这样香，香得痛痛快快,茶馆, 人民文学出版社 , 9.80元,9.1, 2002-1 
"['[美]', '保罗·卡拉尼什']/['何雨珈']",一幕人生大悲剧，在一个雷雨夜爆发,当呼吸化为空气, 浙江文艺出版社 , 48.00元,8.9, 2016-12 
曹禺,我国最古老最杰出的一部兵书,雷雨, 人民文学出版社 , 9.20,8.6, 1999-05 
['孙武']/['郭化若'],乔治·R·R·马丁史诗奇幻小说,孙子兵法, 上海古籍出版社 , 20.00元,9.4, 2006-7 
['乔治·马丁']/['谭光磊'],不必追,冰与火之歌, 重庆出版社 , 330.00元,9.6, 2013-10-1 
龙应台,耿耿余淮,目送, 生活·读书·新知三联书店 , 39.00元,8.6, 2009-10 
"['[日]', '是枝裕和']/['郑有杰']",人生路上，步履不停，总有那么一点来不及,步履不停, 北京联合出版公司 , 36.80元,8.7, 2017-5 
"['[意]', '卡洛·罗韦利']/['杨光']",生存还是毁灭，这是一个值得思考的问题,时间的秩序, 湖南科学技术出版社 , 56.00元,8.9, 2019-6 
林达,旧中国老北京贫苦市民的典型命运,如彗星划过夜空, 生活·读书·新知三联书店 , 21.00元,8.9, 2006-3 
"['[美]', '斯科特·菲茨杰拉德']/['邓若虚']",公民养成手册,了不起的盖茨比, 南海出版公司 , 25.00元,8.8, 2012-5 
（清）沈复,在这本书里，被“审视”的东西杂七杂八,浮生六记, 人民文学出版社 , 38,8.8, 1999-1 
"['[美]', '欧·亨利']/['张经浩']",鸦片战争再研究,麦琪的礼物, 上海社会科学院出版社 , 25.00元,8.6, 2003-7 
刘瑜,梵高悲惨而成就辉煌的人生,送你一颗子弹, 上海三联书店 , 25.00元,8.6, 2010-1 
茅海建,乱世的英雄史诗,天朝的崩溃, 生活·读书·新知三联书店 , 32.00元,9.1, 2005-7 
"['[美]', '欧文·斯通']/['常涛']",一场同名同姓的误会，两段可贵的爱情,渴望生活, 北京十月文艺出版社 , 29.80元,9.2, 2008-4 
"['[美]', '阿图·葛文德（Atul', 'Gawande）']/['王一方', '主编']",关于衰老与死亡，你必须知道的常识,最好的告别, 浙江人民出版社 , 54.90元,9.0, 2015-7-31 
王国维,以新眼光评旧文学,人间词话, 上海古籍出版社 , 9.80元,9.0, 1998-12 
"['[日]', '黑柳彻子', '著']/['赵玉皎']",真正懂孩子的教育经,窗边的小豆豆, 南海出版公司 , 20.00元,8.8, 2003-1 
['上野千鹤子']/['王兰'],熟读唐诗三百首，不会吟诗也会吟,厌女, 上海三联书店 , 28.00元,9.1, 2015-1 
汪曾祺,揭去生活的面纱,人间草木, 江苏文艺出版社 , 20.00元,9.2, 2005-01 
['(英)W.萨默塞特·毛姆']/['阮景林'],哲学启蒙书,面纱, 重庆出版社 , 32.00元,8.7, 2012-05-01 
['安徒生']/['叶君健'],谦恭地、勇敢地、真诚地和有纪律地爱他人,海的女儿, 上海译文出版社 , 0.43,9.1, 1978年6月 
